waveform	Sine
t0	01/01/1904  01:00:00,000000
delta t	0,001000

time	Sine
01/01/1904  01:00:00,548000	1,000000E+0
01/01/1904  01:00:00,549000	1,000000E+0
01/01/1904  01:00:00,550000	-1,000000E+0
01/01/1904  01:00:00,551000	-1,000000E+0
01/01/1904  01:00:00,552000	-1,000000E+0
01/01/1904  01:00:00,553000	-1,000000E+0
01/01/1904  01:00:00,554000	-1,000000E+0
01/01/1904  01:00:00,555000	-1,000000E+0
01/01/1904  01:00:00,556000	-1,000000E+0
01/01/1904  01:00:00,557000	-1,000000E+0
01/01/1904  01:00:00,558000	-1,000000E+0
01/01/1904  01:00:00,559000	-1,000000E+0
01/01/1904  01:00:00,560000	-1,000000E+0
